,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Metro Access,Description
51,Private Rooms with International Airport View,"Dwarka, New Delhi",8.9,Fabulous,107 reviews,17.1 km from centre,No Metro Access,"Private Rooms with International Airport View offers accommodation in New Delhi, 12 km from Qutub Minar. This homestay provides air-conditioned accommodation with a terrace."
52,"Crowne Plaza New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",8.3,Very good,969 reviews,8.9 km from centre,Metro access,"A luxurious escape in the busy business district of Crowne Plaza New Delhi Mayur Vihar Noida offers an outdoor pool, pampering spa services and a gym."
53,Le Meridien New Delhi,"Central Delhi, New Delhi",8.2,Very good,905 reviews,1.8 km from centre,No Metro Access,"Le Méridien New Delhi is situated just 2 km from the Presidential Palace, Parliament House and Connaught Place."
54,Novotel New Delhi International Airport,"South West, New Delhi",8.1,Very good,"2,598 reviews",13.3 km from centre,No Metro Access,"Located at a 7 minutes’ drive from the Indira Gandhi International Airport, Novotel New Delhi International Airport offers 2 family-friendly dining options including a 24X7 Sports Bar."
55,The Desire Hostel,"Malviya Nagar, New Delhi",8.5,Very good,615 reviews,10.8 km from centre,No Metro Access,"The Desire Hostel in New Delhi provides adults-only accommodation with a shared lounge, a garden and barbecue facilities."
56,The Leela Ambience Convention Hotel Delhi,"East Delhi, New Delhi",8.3,Very good,"1,192 reviews",8.3 km from centre,No Metro Access,"The Leela Ambience Convention Hotel, Delhi hotel features contemporary rooms, fine dining options and a fitness centre. It also has an outdoor swimming pool and a spa."
57,Heritage Apartment @ Hauz Khas Village,"Hauz Khas, New Delhi",9.2,Superb,44 reviews,9.5 km from centre,No Metro Access,"Heritage Apartment @ Hauz Khas Village is an accommodation located in New Delhi, 3.3 km from Qutub Minar and 7 km from Rashtrapati Bhavan."
58,Airport Hotel Edge Home stay,"Mahipalpur, New Delhi",8.7,Fabulous,114 reviews,13 km from centre,No Metro Access,Airport Hotel Edge Home stay features air-conditioned rooms with satellite flat-screen TV in the Mahipalpur district of New Delhi.
59,Bloomrooms @ Link Road,"South Delhi, New Delhi",8.4,Very good,626 reviews,6.2 km from centre,Metro access,"Featuring a white and sunny yellow theme, bloomrooms @ Link Road is a 5-minute drive from Humayan’s Tomb and Lodi Gardens. It has a café and lounge and offers free Wi-Fi access."
60,The Lazy Patio Homestay,"Hauz Khas, New Delhi",8.7,Fabulous,83 reviews,9.4 km from centre,No Metro Access,"Situated 5 km from Qutub Minar, The Lazy Patio Homestay offers a shared lounge, a garden and air-conditioned accommodation with a patio and free WiFi."
61,Amidst Monuments and Serenity,"South Delhi, New Delhi",9.6,Exceptional,30 reviews,5.7 km from centre,No Metro Access,"Situated in the South Delhi district in New Delhi, 500 metres from Humayun's Tomb, Amidst Monuments and Serenity features free WiFi access and private parking."
62,Zaza Stay,"South Delhi, New Delhi",8.8,Fabulous,65 reviews,5.8 km from centre,No Metro Access,"Located in New Delhi, 7 km from Swaminarayan Akshardham and 8 km from Swaminarayan Akshardham, Zaza Stay provides accommodation with free WiFi, air conditioning and access to a garden with a terrace."
63,Home@F37 Kailash Colony Metro,"South Delhi, New Delhi",8.3,Very good,266 reviews,9.1 km from centre,Metro access,"Home @F37 is located 200 metres from Kailash Colony Metro Station on Line 6 and 4 km from the Nizzamuddin Railway Station. It offers a 24-hour room service, free parking and free Wi-Fi access."
64,"Crowne Plaza New Delhi Rohini, an IHG Hotel","Rohini, New Delhi",8.4,Very good,448 reviews,14.5 km from centre,Metro access,"Crowne Plaza New Delhi Rohini features contemporary rooms, fine dining options, outdoor pool and lots more."
65,Hotel Heritage Home - A Well Hygiene Property,"Paharganj, New Delhi",8.4,Very good,336 reviews,1.3 km from centre,Metro access,"Offering a restaurant that serves a selection of Indian and Continental delights, Heritage Home is located 1 km from New Delhi Railway Station and 3 km from the iconic India Gate."
66,Olive Service Apartments - Defence Colony,"South Delhi, New Delhi",9.0,Superb,45 reviews,6.7 km from centre,No Metro Access,"Offering self-catering accommodation with air conditioning, Olive Service Apartments – Defence Colony is located in New Dehli. Free WiFi is available throughout the property."
67,Pearl Premium Luxury Homes,"North Delhi, New Delhi",8.6,Fabulous,100 reviews,5.7 km from centre,No Metro Access,"Pearl Premium Luxury Homes is situated in New Delhi, 7 km from Chandni Chowk. Located in the North Delhi district, the property provides guests with access to a restaurant."
68,"Pride Plaza Hotel, Aerocity New Delhi","South West, New Delhi",7.9,Good,"2,456 reviews",13.3 km from centre,Metro access,"Ideally located close to the Delhi international and domestic airport, the hotel has an easy access to the corporate and commercial hubs of Delhi, Gurgaon and the NCR regions."
69,Yes Boss By Backpackers Heaven,"Paharganj, New Delhi",8.2,Very good,173 reviews,1.1 km from centre,No Metro Access,"Attractively set in the Paharganj district of New Delhi, Yes Boss By Backpackers Heaven is situated 2.7 km from Jantar Mantar, 3.5 km from Gurudwara Sis Ganj Sahib and 3.6 km from Red Fort."
70,FabExpress Smart Inn Mahipalpur,"Mahipalpur, New Delhi",8.1,Very good,184 reviews,13 km from centre,No Metro Access,"Located in New Delhi, FabExpress Smart Inn Mahipalpur features 3-star accommodation with private balconies."
71,Hotel City Star,"Paharganj, New Delhi",8.1,Very good,"1,567 reviews",1.3 km from centre,No Metro Access,Hotel City Star in New Delhi features a rooftop restaurant and a fitness centre. Free Wi-Fi and free parking are also available.
72,Pamposh Guest House GK II Market,"South Delhi, New Delhi",8.5,Very good,75 reviews,11.6 km from centre,No Metro Access,"Set 3.9 km from Tughlaqabad Fort, Pamposh Guest House, New Delhi provides accommodation with free WiFi in New Delhi."
73,LetsBunk Poshtel-Boutique Hotel,"Hauz Khas, New Delhi",8.1,Very good,840 reviews,9.6 km from centre,No Metro Access,"Well located in the Hauz Khas district of New Delhi, LetsBunk Poshtel-Boutique Hotel is located 5 km from Qutub Minar, 6 km from Lodhi Gardens and 7 km from Gandhi Smriti."
74,The Metropolitan Hotel & Spa New Delhi,"Central Delhi, New Delhi",8.0,Very good,"2,325 reviews",1.5 km from centre,Metro access,"A 5-minute drive from Connaught Place, The Metropolitan Hotel & Spa New Delhi features an outdoor pool and 3 dining options."
75,Nina Kochhar's Homestay,"North Delhi, New Delhi",9.0,Superb,37 reviews,4.4 km from centre,Metro access,Nina Kochhar's Homestay offers accommodation in New Delhi. Each room at this homestay is air conditioned and has a TV with cable channels. All rooms are fitted with a private bathroom.
76,Under My Roof Green Park,"South Delhi, New Delhi",8.5,Very good,75 reviews,8.8 km from centre,Metro access,"Under My Roof Green Park is situated in the South Delhi district of New Delhi, 5 km from Lodhi Gardens, 5 km from Qutub Minar and 6 km from Gandhi Smriti."
77,Hotel Grand Belmonk Near IGI Airport Delhi,"South West, New Delhi",8.2,Very good,333 reviews,14.8 km from centre,No Metro Access,"Set in New Delhi and with Qutub Minar reachable within 9 km, Hotel Grand Belmonk Near IGI Airport Delhi features express check-in and check-out, non-smoking rooms, a shared lounge, free WiFi and a..."
78,Hindustan- by Backpackers Heaven,"Paharganj, New Delhi",8.0,Very good,"1,106 reviews",1.4 km from centre,Metro access,Hindustan- by Backpackers Heaven is conveniently located 100 metres from Ramakrishna Ashram Marg Metro Station and 500 metres from New Delhi Railway Station.
79,Hotel Sunstar Heritage,"Karol bagh, New Delhi",8.2,Very good,534 reviews,4 km from centre,No Metro Access,"Centrally located in New Delhi, Hotel Sunstar Heritage is 500 metres from the lively Ajmal Khan Road Market. It features a restaurant, free Wi-Fi and air-conditioned rooms with a cable TV."
80,The Legend Inn@ Delhi,"South Delhi, New Delhi",8.1,Very good,90 reviews,8.8 km from centre,Metro access,The Legend Inn@ Delhi is located in New Delhi and is within 3 km from Lotus Temple and ISKCON Temple. Free Wi-Fi access is available. The property offers free parking.
81,Avanti Tenantry,"Safdarjung Enclave, New Delhi",8.2,Very good,77 reviews,8.2 km from centre,No Metro Access,"Located in New Delhi, 5 km from Lodhi Gardens and 6 km from Gandhi Smriti, Avanti Tenantry provides accommodation with free WiFi, air conditioning, a bar and a shared lounge."
82,Orania B & B by Atsar,"South Delhi, New Delhi",8.1,Very good,181 reviews,9.2 km from centre,No Metro Access,"Located in New Delhi, 5 km from Qutub Minar, Orania B & B by Atsar provides accommodation with a restaurant, free WiFi, a 24-hour front desk, and room service."
83,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",7.9,Good,848 reviews,8.9 km from centre,Metro access,"Holiday Inn New Delhi Mayur Vihar Noida is situated in New Delhi's Mayur Vihar business district. Offering its guests free parking, the hotel also has a gym and outdoor pool."
84,Grace Home,"Saket, New Delhi",8.9,Fabulous,37 reviews,12.4 km from centre,Metro access,"Set in New Delhi, within 3.5 km of Qutub Minar and 7 km of Lotus Temple, Grace Home offers accommodation with a shared lounge and free WiFi throughout the property as well as free private parking for..."
85,Tree of Life Bed & Breakfast,"Saket, New Delhi",9.2,Superb,27 reviews,12.4 km from centre,Metro access,Tree of Life Bed & Breakfast is 1 km from Select City Walk Mall and Garden of 5 Senses. Free Wi-Fi access is available.
86,Capital O 11689 Hotel Happy Stay,"Mahipalpur, New Delhi",7.9,Good,56 reviews,13.6 km from centre,No Metro Access,"Set in New Delhi, 14 km from Qutub Minar, Capital O 11689 Hotel Happy Stay features views of the city. Boasting room service, this property also welcomes guests with a restaurant and a terrace."
87,"Park Inn by Radisson,South Delhi","South Delhi, New Delhi",7.9,Good,513 reviews,8 km from centre,Metro access,"Conveniently located off NH-48, Park Inn by Radisson New Delhi Lajpat Nagar offers an outdoor swimming pool and a fitness centre. Rooms include a flat-screen TV with satellite channels."
88,Treebo Trend Natraj Yes Please,"Paharganj, New Delhi",8.0,Very good,"1,313 reviews",1.4 km from centre,Metro access,"Located 20 metres from the R K Ashram Metro Station, 350 metres from New Delhi Railway Station and 1 km from Connaught Place, Treebo Natraj Yes Please features a 24-hour reception."
89,Hotel Pinky Villa - 5 mins from New Delhi Railway Station,"Paharganj, New Delhi",8.3,Very good,128 reviews,1.3 km from centre,Metro access,"Ideally located in the Paharganj district of New Delhi, Hotel Pinky Villa - 5 mins from New Delhi Railway Station is set 2.2 km from Gurudwara Bangla Sahib, 3 km from Jama Masjid and 3.4 km from..."
90,The Prime Balaji Deluxe @ New Delhi Railway Station,"Paharganj, New Delhi",7.9,Good,"3,170 reviews",1.3 km from centre,No Metro Access,"Located just 100 metres from the New Delhi Railway Station, The Prime Balaji Deluxe @ New Delhi Railway Station operates a 24-hour front desk to assist guests at all hours."
91,Hotel Blue Pearl,"Paharganj, New Delhi",8.7,Fabulous,615 reviews,1.3 km from centre,No Metro Access,"Blue Pearl is located in New Delhi. Free Wi-Fi access is available. The property is 1 km from Connaught Place, 4 km from India Gate and 6 km from Red Fort. The New Delhi Railway Station is 1 km."
92,The Lohmod - Boutique Hotel At Delhi Airport,"Mahipalpur, New Delhi",8.0,Very good,91 reviews,13 km from centre,No Metro Access,"Boasting a fitness centre, terrace and views of city, The Lohmod - Boutique Hotel At Delhi Airport is set in New Delhi, 11 km from Qutub Minar."
93,Airport Plazzo,"Mahipalpur, New Delhi",8.1,Very good,95 reviews,13.6 km from centre,No Metro Access,"Located in New Delhi, 10 km from Qutub Minar, Airport Plazzo offers air-conditioned rooms with free WiFi and concierge services."
94,Hotel Aira Xing by Staybook,"Paharganj, New Delhi",8.6,Fabulous,529 reviews,1.8 km from centre,No Metro Access,"Located in New Delhi and with Jama Masjid reachable within 2.3 km, Hotel Aira Xing by Staybook features express check-in and check-out, non-smoking rooms, a shared lounge, free WiFi throughout the..."
95,Airport Hotel Delhi 37,"Mahipalpur, New Delhi",7.7,Good,169 reviews,13.7 km from centre,Metro access,"Set in New Delhi, Hotel Delhi Inn features free WiFi throughout the property. The property is situated 7 km from Qutub Minar. The accommodation offers a 24-hour front desk and valet parking for..."
96,Hilton Garden Inn New Delhi/Saket,"Saket, New Delhi",7.7,Good,869 reviews,11.9 km from centre,No Metro Access,"Hilton Garden Inn Saket is located in DLF Avenue Mall in Saket, South Delhi. 5 km from Nehru Place and 9 km from Okhla. It offers free Wi-Fi, an outdoor swimming pool, and a 24-hour business centre."
97,Hotel NewTech Near New Delhi Railway Station,New Delhi,9.6,Exceptional,17 reviews,2.5 km from centre,Metro access,"Located in New Delhi, 3.7 km from Gurudwara Bangla Sahib, Hotel NewTech Near New Delhi Railway Station features air-conditioned rooms and a shared lounge."
98,Hyatt Regency Delhi,"South Delhi, New Delhi",7.9,Good,"1,274 reviews",8.1 km from centre,Metro access,"Located in Delhi's central business district with close proximity to Noida and Gurgaon, 8.5 km from the Indira Gandhi International airport, Hyatt Regency Delhi features free WiFi and a variety of..."
99,Homestay Ac Dormitory,"North Delhi, New Delhi",8.2,Very good,98 reviews,3.7 km from centre,Metro access,"Situated in New Delhi, within 1.8 km of Red Fort and 2.1 km of Gurudwara Sis Ganj Sahib, Homestay Ac Dormitory features accommodation with a shared lounge and free WiFi as well as free private parking..."
100,Hotel Picasso,"Pashim Vihar, New Delhi",8.7,Fabulous,22 reviews,13.1 km from centre,No Metro Access,"Located in New Delhi, 18 km from Gandhi Smriti, Hotel Picasso features accommodation with free WiFi and free private parking. This 3-star hotel offers an ATM and a tour desk."
101,The Grand Uddhav By Staybook,"Paharganj, New Delhi",7.9,Good,"1,012 reviews",1.1 km from centre,Metro access,"Conveniently located in the Paharganj district of New Delhi, The Grand Uddhav By Staybook is set 1.7 km from Gurudwara Bangla Sahib, 2.8 km from Jantar Mantar and 3.2 km from Jama Masjid."
102,Hotel Airport Inn Mahipalpur,"Mahipalpur, New Delhi",7.8,Good,316 reviews,13.6 km from centre,No Metro Access,"Just 3 km from Indira Gandhi International Airport, Hotel Airport Inn offers budget accommodation with free Wi-Fi and flat-screen TVs."
103,Minimalist Poshtel & Suites,"Hauz Khas, New Delhi",7.9,Good,144 reviews,9.6 km from centre,No Metro Access,"Set in New Delhi, 5 km from Qutub Minar, Minimalist Poshtel & Suites offers air-conditioned accommodation and a bar."
104,"Eros Hotel New Delhi, Nehru Place","Nehru Place, New Delhi",7.7,Good,"1,322 reviews",9.8 km from centre,Metro access,"Set in South Delhi, Eros Hotel New Delhi, Nehru Place features an outdoor swimming pool and a fitness centre. It is a 5-minute walk from Nehru Place Metro Station and 2.9 km from the Lotus Temple."
105,Hotel Sunstar Heights,"Karol bagh, New Delhi",7.8,Good,121 reviews,4 km from centre,No Metro Access,"Just 500 metres from Karol Bagh’s Ajmal Khan Road Market, this boutique hotel features rooms with free Wi-Fi. It also houses a restaurant offering 24-hour room service."
